evaluations raw_y
1 1.3007284079
11 1.3340448239
15 1.7531556802
32 2.1367521368
138 2.1663778163
301 2.2603978300
538 2.3629489603
677 2.3992322457
765 2.5562372188
1018 2.5987525988
1064 3.1172069825
1137 3.3156498674
1476 3.3875338753
1480 3.7091988131
1728 4.0983606557
1765 4.4483985765
5000 4.4483985765
evaluations raw_y
1 0.8722958828
2 1.3455328310
4 1.5762925599
26 1.6087516088
35 1.6254876463
84 1.7934002869
180 2.0525451560
191 2.3277467412
456 2.3992322457
460 2.6881720430
670 2.7352297593
728 2.9976019185
923 3.1806615776
1188 3.3156498674
1214 4.0983606557
5000 4.0983606557
evaluations raw_y
1 1.2794268168
2 1.3227513228
3 1.3455328310
9 1.4585764294
16 2.0525451560
78 2.1663778163
126 2.8344671202
471 2.9976019185
658 3.1806615776
5000 2.6881720430
evaluations raw_y
1 0.8440243079
2 1.0548523207
3 1.3227513228
5 1.4060742407
6 1.7730496454
21 1.8796992481
97 2.0000000000
119 2.6881720430
4204 2.7839643653
4577 2.9976019185
4909 3.1806615776
5000 2.9976019185
evaluations raw_y
1 0.8007687380
2 1.0339123242
6 1.0993843448
8 1.2794268168
10 1.3572204126
21 1.6778523490
29 1.9500780031
115 2.0525451560
122 2.2603978300
145 2.3992322457
173 2.4752475248
309 2.6427061311
605 3.1172069825
657 3.2467532468
854 3.4626038781
1372 3.7091988131
1655 3.7993920973
1796 3.8940809969
2202 5.0200803213
5000 5.0200803213
evaluations raw_y
1 1.5605493134
15 1.7730496454
46 2.0798668885
203 2.1079258010
218 2.1968365554
368 2.3992322457
585 2.5150905433
810 2.5987525988
830 2.7352297593
1317 2.8868360277
1525 2.9411764706
1565 2.9976019185
1593 3.1806615776
1913 3.2467532468
2432 3.4626038781
5000 3.4626038781
evaluations raw_y
1 1.1649580615
3 1.5605493134
10 1.7337031900
11 1.7934002869
34 1.9025875190
81 2.0259319287
105 2.0525451560
261 2.1367521368
279 2.2603978300
598 2.6427061311
722 2.8868360277
841 2.9411764706
1200 2.9976019185
1324 3.3875338753
1660 3.6231884058
2113 3.7993920973
5000 3.7993920973
evaluations raw_y
1 1.1071744907
4 1.5006002401
9 1.8355359765
10 1.9260400616
133 1.9747235387
187 2.2935779817
207 2.5562372188
329 2.7352297593
712 2.9976019185
770 3.0562347188
800 3.3156498674
1123 3.4626038781
1160 3.5410764873
5000 3.5410764873
evaluations raw_y
1 1.2588116818
2 1.6960651289
18 1.9025875190
159 2.1079258010
161 2.1968365554
228 2.3277467412
419 2.3992322457
752 2.5987525988
871 2.7352297593
1352 3.0562347188
1388 3.1172069825
1539 3.1806615776
1751 3.3156498674
1846 3.4626038781
2029 3.7091988131
5000 3.7091988131
evaluations raw_y
1 0.7886435331
2 0.8007687380
3 1.2100677638
5 1.3572204126
9 1.3691128149
26 2.1079258010
115 2.1968365554
349 2.2281639929
387 2.6881720430
796 2.8344671202
867 2.8868360277
1116 3.5410764873
5000 3.5410764873
evaluations raw_y
1 1.8796992481
19 2.1079258010
50 2.2281639929
189 2.3277467412
541 2.5987525988
719 2.8344671202
990 3.1172069825
1280 3.2467532468
5000 3.2467532468
evaluations raw_y
1 1.1150758252
3 1.2388503469
4 1.5923566879
8 1.6425755585
37 1.8796992481
72 1.9747235387
102 2.5562372188
518 2.5987525988
556 3.0562347188
880 3.2467532468
1260 3.3156498674
1266 3.4626038781
5000 3.4626038781
evaluations raw_y
1 0.7617306520
2 0.7886435331
3 1.1737089202
7 1.4318442153
10 1.8796992481
85 1.9260400616
120 2.1367521368
125 2.5987525988
557 2.6427061311
583 2.9976019185
659 3.0562347188
1275 3.1172069825
1466 3.5410764873
1562 4.0983606557
1995 4.7169811321
5000 2.5562372188
evaluations raw_y
1 0.8674531575
2 1.3935340022
6 1.5151515152
14 1.9260400616
200 2.0000000000
257 2.1663778163
286 2.2603978300
355 2.4366471735
441 2.4752475248
540 2.5150905433
716 2.5562372188
815 2.6427061311
958 2.7352297593
1106 2.8344671202
1116 2.9976019185
1404 3.3156498674
1637 3.5410764873
1791 4.2087542088
5000 4.2087542088
evaluations raw_y
1 1.7531556802
145 1.7730496454
181 1.9260400616
240 2.1079258010
341 2.1968365554
631 2.2281639929
642 2.4752475248
684 2.5987525988
913 2.7352297593
941 2.9976019185
977 3.1172069825
982 3.2467532468
1397 3.7993920973
5000 3.7993920973
evaluations raw_y
1 2.2281639929
2 2.3992322457
55 2.5987525988
255 2.6881720430
705 2.7352297593
710 2.8344671202
800 2.9411764706
803 3.2467532468
847 3.3156498674
1373 3.5410764873
1424 3.6231884058
1514 3.9936102236
5000 3.9936102236
evaluations raw_y
1 1.9747235387
99 2.3992322457
360 2.4752475248
464 2.6427061311
662 2.7839643653
767 2.8868360277
1032 2.9976019185
1092 3.0562347188
1467 3.1806615776
1673 3.5410764873
3355 3.6231884058
3658 3.9936102236
3827 4.7169811321
5000 2.6881720430
evaluations raw_y
1 0.9349289454
2 1.6778523490
3 1.8573551263
5 2.1079258010
45 2.2281639929
176 2.3277467412
204 2.6427061311
343 3.2467532468
871 3.6231884058
1264 3.9936102236
1331 4.0983606557
1479 4.7169811321
5000 4.7169811321
evaluations raw_y
1 1.8573551263
101 1.9500780031
145 2.0259319287
230 2.0798668885
296 2.1079258010
308 2.2935779817
429 2.5987525988
633 2.6427061311
658 2.8868360277
712 3.1172069825
944 3.2467532468
1809 3.3875338753
2006 3.6231884058
5000 2.1079258010
evaluations raw_y
1 1.3812154696
5 1.5605493134
12 1.6600265604
13 1.7531556802
127 2.1663778163
377 2.2603978300
467 2.2935779817
497 2.5987525988
615 2.6881720430
655 2.7352297593
844 2.8868360277
851 2.9976019185
998 3.0562347188
1063 3.1172069825
1465 3.2467532468
1501 3.5410764873
1677 3.6231884058
1988 3.7993920973
2909 3.8940809969
5000 2.5562372188
evaluations raw_y
1 0.9238728751
2 1.3455328310
5 1.4723203769
36 1.7337031900
41 1.8573551263
45 2.1367521368
121 2.2603978300
474 2.3992322457
781 2.5562372188
937 2.7352297593
1159 2.8344671202
1303 3.1806615776
1618 3.6231884058
5000 2.7352297593
evaluations raw_y
1 0.6222000996
2 0.7580351728
3 1.0477787091
4 1.0993843448
7 1.4188422247
18 1.6254876463
21 1.6600265604
42 1.6960651289
43 1.7934002869
59 1.9747235387
87 2.0259319287
158 2.1367521368
203 2.4366471735
320 2.5150905433
447 2.5987525988
492 2.8868360277
847 2.9411764706
1267 3.1172069825
1516 3.3875338753
2293 3.5410764873
2466 3.7993920973
5000 3.7993920973
evaluations raw_y
1 0.8674531575
2 1.4450867052
22 1.7146776406
118 1.7934002869
130 1.8796992481
145 2.0000000000
167 2.3277467412
337 2.7352297593
845 2.9411764706
1114 3.6231884058
1541 3.7993920973
5000 3.7993920973
evaluations raw_y
1 0.9077705156
2 1.7934002869
42 1.8796992481
124 2.0525451560
192 2.1079258010
241 2.5562372188
616 2.8868360277
760 3.1172069825
866 3.2467532468
1645 3.5410764873
3107 3.6231884058
3809 3.7993920973
4203 3.9936102236
5000 3.3875338753
evaluations raw_y
1 0.6819421713
2 0.8626639061
3 1.2195121951
4 1.2794268168
10 1.3227513228
16 1.5299877601
24 1.8142235123
29 1.8355359765
36 1.9500780031
134 2.3629489603
327 2.5150905433
413 2.7352297593
718 2.9411764706
835 3.1172069825
946 3.2467532468
1359 3.3156498674
1962 3.3875338753
2099 3.5410764873
2136 3.7091988131
2195 3.7993920973
5000 3.7993920973
evaluations raw_y
1 1.3227513228
8 1.4585764294
9 1.7730496454
19 1.9500780031
53 2.0000000000
75 2.0259319287
243 2.1968365554
327 2.2603978300
388 2.3629489603
591 2.5562372188
842 2.5987525988
913 3.1806615776
1096 3.2467532468
1186 3.3875338753
1312 3.4626038781
1397 3.7091988131
1458 3.9936102236
5000 3.9936102236
evaluations raw_y
1 0.7543753772
2 0.8090614887
3 1.0548523207
5 1.2291052114
9 1.2487512488
13 1.3007284079
17 1.3455328310
20 1.7146776406
89 1.7934002869
104 1.9260400616
111 1.9747235387
160 2.0000000000
267 2.0259319287
337 2.1968365554
455 2.5987525988
896 2.7352297593
1006 2.7839643653
1282 3.4626038781
2121 3.6231884058
2609 4.2087542088
5000 4.2087542088
evaluations raw_y
1 1.4318442153
17 1.7146776406
45 2.0000000000
86 2.4752475248
366 2.5150905433
597 2.5987525988
725 2.6427061311
776 2.6881720430
934 3.1806615776
1342 3.7091988131
1978 4.0983606557
2176 4.3252595156
2258 4.4483985765
5000 3.2467532468
evaluations raw_y
1 0.7543753772
2 1.1737089202
13 1.3455328310
16 1.5151515152
19 1.6254876463
27 2.1079258010
137 2.2603978300
184 2.5150905433
458 2.5987525988
561 2.7839643653
703 2.8344671202
1014 3.2467532468
5000 3.2467532468
evaluations raw_y
1 0.8722958828
2 1.3572204126
5 1.4188422247
31 1.5923566879
36 1.6425755585
81 1.7337031900
86 1.9025875190
159 2.0798668885
425 2.1079258010
457 2.2281639929
485 2.7839643653
521 2.8344671202
733 2.8868360277
1206 2.9411764706
1223 3.3156498674
1484 3.3875338753
1623 3.4626038781
1955 3.7993920973
2251 4.2087542088
5000 3.9936102236
evaluations raw_y
1 0.9881422925
2 1.2007684918
10 1.3007284079
11 1.6254876463
21 1.9500780031
29 2.0798668885
146 2.1079258010
220 2.1367521368
266 2.2935779817
268 2.3629489603
363 2.3992322457
373 2.4366471735
440 2.5987525988
612 2.6881720430
784 2.7839643653
1257 2.9976019185
1552 3.1172069825
2129 3.1806615776
2144 3.2467532468
2288 3.3156498674
2454 3.5410764873
2671 3.7091988131
3209 4.2087542088
5000 4.2087542088
evaluations raw_y
1 0.5312367191
2 1.2690355330
13 2.0525451560
72 2.2935779817
175 2.4752475248
178 3.0562347188
284 3.1172069825
456 3.4626038781
767 4.0983606557
5000 2.9411764706
evaluations raw_y
1 1.0917030568
5 1.5605493134
39 1.8142235123
137 2.0259319287
161 2.1367521368
192 2.2281639929
193 2.3629489603
380 2.9976019185
928 3.5410764873
1401 4.0983606557
5000 4.0983606557
evaluations raw_y
1 1.3935340022
11 1.6600265604
83 1.6960651289
85 1.8573551263
99 2.0259319287
118 2.1968365554
452 2.6881720430
632 2.8344671202
866 2.9411764706
981 3.1806615776
1490 3.4626038781
5000 2.2281639929
evaluations raw_y
1 1.3691128149
3 1.6960651289
8 1.7337031900
17 1.7531556802
24 1.9260400616
50 2.2603978300
341 2.2935779817
371 2.5150905433
397 2.5987525988
531 2.6427061311
559 2.6881720430
681 2.9976019185
836 3.0562347188
885 3.3875338753
937 3.4626038781
1669 3.7091988131
2509 3.9936102236
5000 3.5410764873
evaluations raw_y
1 1.2388503469
9 1.4060742407
12 1.5605493134
104 1.6960651289
114 1.7531556802
162 2.1367521368
172 2.1968365554
239 2.3277467412
342 2.5562372188
443 2.7352297593
676 3.2467532468
1053 3.3875338753
1345 3.9936102236
5000 3.9936102236
evaluations raw_y
1 1.2007684918
4 1.2100677638
9 1.2794268168
14 1.3812154696
15 1.4450867052
28 1.4585764294
31 1.6600265604
44 1.7730496454
78 1.9500780031
83 2.0000000000
91 2.4366471735
213 2.5562372188
230 2.6881720430
451 2.7352297593
506 3.1806615776
651 3.4626038781
939 3.7091988131
1683 3.8940809969
1751 3.9936102236
1961 4.2087542088
5000 2.4366471735
evaluations raw_y
1 1.3691128149
