evaluations raw_y
1 -578.0000000000
2 -336.0000000000
7 -289.0000000000
12 -275.0000000000
37 -255.0000000000
50 -235.0000000000
171 -188.0000000000
270 -181.0000000000
313 -140.0000000000
452 -128.0000000000
457 -127.0000000000
564 -121.0000000000
581 -115.0000000000
600 -114.0000000000
614 -81.0000000000
695 -74.0000000000
765 -68.0000000000
770 -49.0000000000
815 -42.0000000000
940 -35.0000000000
970 -22.0000000000
1000 -16.0000000000
1022 -2.0000000000
1206 -1.0000000000
1319 3.0000000000
1433 5.0000000000
1870 6.0000000000
2453 7.0000000000
5000 -13.0000000000
evaluations raw_y
1 -235.0000000000
170 -222.0000000000
234 -215.0000000000
254 -195.0000000000
319 -181.0000000000
364 -161.0000000000
422 -134.0000000000
426 -75.0000000000
488 -67.0000000000
524 -55.0000000000
675 -54.0000000000
684 -47.0000000000
783 -21.0000000000
875 -15.0000000000
922 -14.0000000000
1140 -9.0000000000
1300 -3.0000000000
1380 5.0000000000
2101 6.0000000000
3454 7.0000000000
5000 -20.0000000000
evaluations raw_y
1 -362.0000000000
6 -329.0000000000
21 -241.0000000000
25 -228.0000000000
28 -208.0000000000
124 -181.0000000000
194 -161.0000000000
218 -155.0000000000
269 -134.0000000000
308 -128.0000000000
369 -100.0000000000
426 -94.0000000000
447 -67.0000000000
626 -60.0000000000
677 -48.0000000000
703 -41.0000000000
735 -35.0000000000
743 -22.0000000000
981 -20.0000000000
983 -8.0000000000
1055 -2.0000000000
1282 4.0000000000
1463 5.0000000000
2720 6.0000000000
3721 7.0000000000
5000 -20.0000000000
evaluations raw_y
1 -463.0000000000
3 -302.0000000000
10 -288.0000000000
11 -255.0000000000
22 -248.0000000000
36 -221.0000000000
45 -201.0000000000
138 -188.0000000000
140 -181.0000000000
172 -174.0000000000
182 -167.0000000000
185 -161.0000000000
258 -154.0000000000
263 -141.0000000000
281 -135.0000000000
303 -128.0000000000
331 -94.0000000000
486 -68.0000000000
643 -48.0000000000
758 -35.0000000000
856 -15.0000000000
1257 -10.0000000000
1274 -9.0000000000
1306 -2.0000000000
1435 3.0000000000
1509 4.0000000000
1669 5.0000000000
2021 6.0000000000
2451 7.0000000000
5000 -13.0000000000
evaluations raw_y
1 -356.0000000000
2 -343.0000000000
5 -329.0000000000
9 -315.0000000000
16 -309.0000000000
27 -275.0000000000
30 -207.0000000000
224 -195.0000000000
293 -194.0000000000
299 -188.0000000000
341 -148.0000000000
371 -128.0000000000
449 -108.0000000000
