evaluations raw_y
6551 -14.0000000000
6610 -9.0000000000
6814 -3.0000000000
7419 3.0000000000
8936 5.0000000000
9380 6.0000000000
15987 7.0000000000
100000 7.0000000000
evaluations raw_y
1 -524.0000000000
2 -403.0000000000
3 -275.0000000000
30 -241.0000000000
59 -222.0000000000
278 -107.0000000000
2563 -87.0000000000
3560 -82.0000000000
3598 -67.0000000000
4111 -61.0000000000
4445 -48.0000000000
4560 -35.0000000000
4726 -28.0000000000
5220 -22.0000000000
5742 -16.0000000000
5957 -15.0000000000
6017 -4.0000000000
7123 -2.0000000000
7975 5.0000000000
12938 6.0000000000
26373 7.0000000000
100000 7.0000000000
evaluations raw_y
1 -457.0000000000
2 -416.0000000000
3 -282.0000000000
27 -268.0000000000
45 -255.0000000000
47 -168.0000000000
311 -154.0000000000
1545 -140.0000000000
2058 -108.0000000000
2160 -107.0000000000
2758 -100.0000000000
3055 -81.0000000000
3589 -74.0000000000
3969 -68.0000000000
4067 -42.0000000000
4787 -36.0000000000
5186 -35.0000000000
5262 -30.0000000000
5548 -23.0000000000
5666 -22.0000000000
6139 -16.0000000000
6165 -9.0000000000
6219 -4.0000000000
6545 -3.0000000000
7017 -1.0000000000
7378 3.0000000000
7438 4.0000000000
7539 5.0000000000
8136 6.0000000000
100000 6.0000000000
